,activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value,action_type,canonical_smiles,mechanism_of_action,tid
18,285678,329,14360,35970,33679,=,11000.0,nM,1,Ki,,,0,4.96,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,11000.0,nM,,,,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Steroid 5-alpha-reductase 2 inhibitor,120.0
19,1022392,349,3796,73127,433015,=,1.1,nM,1,IC50,,,0,8.96,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,1.1,nM,,,,,Thyroid hormone receptor agonist,104987.0
20,766793,535,12421,137872,33679,=,11000.0,nM,1,Ki,,,0,4.96,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,11000.0,nM,,,,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Steroid 5-alpha-reductase 2 inhibitor,120.0
21,699354,536,12947,160710,33679,=,11000.0,nM,1,Ki,,,0,4.96,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,11000.0,nM,,,,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Steroid 5-alpha-reductase 2 inhibitor,120.0
22,699360,537,12947,160710,33679,=,150.0,nM,1,Ki,,,0,6.82,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,150.0,nM,,,,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Steroid 5-alpha-reductase 2 inhibitor,120.0
23,229395,547,4164,332442,281549,=,40.0,nM,1,IC50,,,0,7.4,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.04,uM,,,,,4-hydroxyphenylpyruvate dioxygenase inhibitor,123.0
24,1002095,555,13021,212645,185141,=,2.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,2.0,%,,,,,GABA-B receptor antagonist,104988.0
25,915982,561,14430,106801,2261,=,150.0,nM,1,IC50,,,0,6.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,150.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
26,915982,561,14430,106801,2261,=,150.0,nM,1,IC50,,,0,6.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,150.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Dopamine D2 receptor antagonist,72.0
27,943805,561,14430,106800,3859,=,1500.0,nM,1,IC50,,,0,5.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,1500.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
28,943805,561,14430,106800,3859,=,1500.0,nM,1,IC50,,,0,5.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,1500.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,D2-like dopamine receptor inverse agonist,105671.0
29,209815,580,12248,7381,6216,=,673.0,nM,1,Ki,,,0,6.17,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,673.0,nM,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,Serotonin 2a (5-HT2a) receptor antagonist,107.0
30,209815,580,12248,7381,6216,=,673.0,nM,1,Ki,,,0,6.17,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,673.0,nM,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,D2-like dopamine receptor antagonist,105671.0
31,576831,601,13114,249012,111060,=,47.0,nM,1,IC50,,,0,7.33,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,47.0,nM,,,,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Histamine H1 receptor inverse agonist,127.0
32,1258197,602,13181,278646,238731,<,10000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Log Ki,<,-5.0,,,,,,Serotonin 4 (5-HT4) receptor antagonist,168.0
33,1138401,618,3445,207694,8543,=,27.0,nM,1,EC50,,,0,7.57,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,27.0,nM,,,,CC(C)NCC(O)COc1cccc2[nH]ccc12,Beta-1 adrenergic receptor partial agonist,50.0
34,1138401,618,3445,207694,8543,=,27.0,nM,1,EC50,,,0,7.57,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,27.0,nM,,,,CC(C)NCC(O)COc1cccc2[nH]ccc12,Beta-2 adrenergic receptor partial agonist,43.0
35,617576,690,6861,77838,50290,=,114.0,nM,1,IC50,,,0,6.94,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.114,uM,,,,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,Serotonin 1a (5-HT1a) receptor agonist,51.0
36,719972,738,11311,151502,135680,=,150.0,nM,1,IC50,,,0,6.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.15,uM,,,,,Cyclooxygenase-1 inhibitor,11343.0
37,719972,738,11311,151502,135680,=,150.0,nM,1,IC50,,,0,6.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.15,uM,,,,,Cyclooxygenase-2 inhibitor,11346.0
38,719972,738,11311,151502,135680,=,150.0,nM,1,IC50,,,0,6.82,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.15,uM,,,,,Arachidonate 5-lipoxygenase inhibitor,121116.0
39,749562,738,11311,151499,9217,=,500.0,nM,1,IC50,,,0,6.3,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.5,uM,,,,CC(c1cc2ccccc2s1)N(O)C(N)=O,Arachidonate 5-lipoxygenase inhibitor,55.0
40,723266,743,11311,151496,51056,>,20000.0,nM,0,Inhibition,,,0,,BAO_0000181,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Inhibition,>,20000.0,nM,,,,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,Cyclooxygenase inhibitor,104725.0
41,599337,757,12416,134225,7714,=,950.0,nM,1,IC50,,,0,6.02,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.95,uM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2a (5-HT2a) receptor antagonist,107.0
42,599337,757,12416,134225,7714,=,950.0,nM,1,IC50,,,0,6.02,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.95,uM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2c (5-HT2c) receptor antagonist,108.0
43,599337,757,12416,134225,7714,=,950.0,nM,1,IC50,,,0,6.02,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.95,uM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Dopamine D2 receptor antagonist,72.0
44,626760,757,12416,134226,3859,=,7079.0,nM,1,IC50,,,0,5.15,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,7.079,uM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
45,626760,757,12416,134226,3859,=,7079.0,nM,1,IC50,,,0,5.15,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,7.079,uM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,D2-like dopamine receptor inverse agonist,105671.0
46,632001,757,12416,134224,2261,=,1015.5,nM,1,IC50,,,0,5.99,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,1.0155,uM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
47,632001,757,12416,134224,2261,=,1015.5,nM,1,IC50,,,0,5.99,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,1.0155,uM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Dopamine D2 receptor antagonist,72.0
48,680060,758,16293,285953,7714,=,21.0,nM,1,Ki,,,0,7.68,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,21.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2a (5-HT2a) receptor antagonist,107.0
49,680060,758,16293,285953,7714,=,21.0,nM,1,Ki,,,0,7.68,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,21.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2c (5-HT2c) receptor antagonist,108.0
50,680060,758,16293,285953,7714,=,21.0,nM,1,Ki,,,0,7.68,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,21.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Dopamine D2 receptor antagonist,72.0
51,688680,758,16293,285934,34197,=,7100.0,nM,1,Ki,,,0,5.15,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7100.0,nM,,,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
52,688680,758,16293,285934,34197,=,7100.0,nM,1,Ki,,,0,5.15,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7100.0,nM,,,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Serotonin 2c (5-HT2c) receptor antagonist,108.0
53,688680,758,16293,285934,34197,=,7100.0,nM,1,Ki,,,0,5.15,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7100.0,nM,,,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,D2-like dopamine receptor antagonist,105671.0
54,701857,758,16293,285924,2261,=,710.0,nM,1,Ki,,,0,6.15,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,710.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
55,701857,758,16293,285924,2261,=,710.0,nM,1,Ki,,,0,6.15,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,710.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Dopamine D2 receptor antagonist,72.0
56,1007267,759,13047,226597,196215,=,0.77,,0,Intrinsic activity,,,0,,BAO_0000181,,,,,,1,Intrinsic activity,=,0.77,,,,,,Serotonin 1b (5-HT1b) receptor agonist,106.0
57,1007267,759,13047,226597,196215,=,0.77,,0,Intrinsic activity,,,0,,BAO_0000181,,,,,,1,Intrinsic activity,=,0.77,,,,,,Serotonin 1d (5-HT1d) receptor agonist,105.0
58,1007266,760,13047,226597,196215,=,6.8,,0,p[A50],,,0,,BAO_0000179,,,,,,1,p[A50],=,6.8,,,,,,Serotonin 1b (5-HT1b) receptor agonist,106.0
59,1007266,760,13047,226597,196215,=,6.8,,0,p[A50],,,0,,BAO_0000179,,,,,,1,p[A50],=,6.8,,,,,,Serotonin 1d (5-HT1d) receptor agonist,105.0
60,1007271,761,13047,226597,196215,<,4.5,,0,p[A50],,,0,,BAO_0000179,,,,,,1,p[A50],<,4.5,,,,,,Serotonin 1b (5-HT1b) receptor agonist,106.0
61,1007271,761,13047,226597,196215,<,4.5,,0,p[A50],,,0,,BAO_0000179,,,,,,1,p[A50],<,4.5,,,,,,Serotonin 1d (5-HT1d) receptor agonist,105.0
62,1007275,762,13047,226597,196215,=,5.3,,0,p[A50],,,0,,BAO_0000179,,,,,,1,p[A50],=,5.3,,,,,,Serotonin 1b (5-HT1b) receptor agonist,106.0
63,1007275,762,13047,226597,196215,=,5.3,,0,p[A50],,,0,,BAO_0000179,,,,,,1,p[A50],=,5.3,,,,,,Serotonin 1d (5-HT1d) receptor agonist,105.0
64,990465,764,10085,17241,2261,=,587.0,nM,1,IC50,,,1,6.23,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,587.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
65,990465,764,10085,17241,2261,=,587.0,nM,1,IC50,,,1,6.23,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,587.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Dopamine D2 receptor antagonist,72.0
66,1002582,764,10085,17243,6216,>,1000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,1000.0,nM,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,Serotonin 2a (5-HT2a) receptor antagonist,107.0
67,1002582,764,10085,17243,6216,>,1000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,1000.0,nM,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,D2-like dopamine receptor antagonist,105671.0
68,554619,770,8868,231836,3859,>,1000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,1000.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
69,554619,770,8868,231836,3859,>,1000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,1000.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,D2-like dopamine receptor inverse agonist,105671.0
70,554636,770,8868,231835,2261,=,587.0,nM,1,IC50,,,0,6.23,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,587.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
71,554636,770,8868,231835,2261,=,587.0,nM,1,IC50,,,0,6.23,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,587.0,nM,,,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Dopamine D2 receptor antagonist,72.0
72,1246273,771,9036,55131,674350,=,95.0,nM,1,IC50,,,0,7.02,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,95.0,nM,,,,,Serotonin 1a (5-HT1a) receptor partial agonist,51.0
73,514382,773,10881,307570,557741,=,4470.0,nM,1,IC50,,,0,5.35,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,4.47,uM,,,,,Serotonin 4 (5-HT4) receptor agonist,168.0
74,238254,789,3070,348702,7714,=,55.0,nM,1,Ki,,,0,7.26,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,55.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2a (5-HT2a) receptor antagonist,107.0
75,238254,789,3070,348702,7714,=,55.0,nM,1,Ki,,,0,7.26,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,55.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2c (5-HT2c) receptor antagonist,108.0
76,238254,789,3070,348702,7714,=,55.0,nM,1,Ki,,,0,7.26,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,55.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Dopamine D2 receptor antagonist,72.0
77,246568,789,3070,348703,3859,=,400.0,nM,1,Ki,,,0,6.4,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,400.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
78,246568,789,3070,348703,3859,=,400.0,nM,1,Ki,,,0,6.4,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,400.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,D2-like dopamine receptor inverse agonist,105671.0
79,146280,794,11963,170379,3183,>,1000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,>,1000.0,nM,,,,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,Serotonin 3a (5-HT3a) receptor antagonist,144.0
80,226481,796,9098,22757,8543,=,100.0,nM,1,Ki,,,0,7.0,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,100.0,nM,,,,CC(C)NCC(O)COc1cccc2[nH]ccc12,Beta-1 adrenergic receptor partial agonist,50.0
81,226481,796,9098,22757,8543,=,100.0,nM,1,Ki,,,0,7.0,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,100.0,nM,,,,CC(C)NCC(O)COc1cccc2[nH]ccc12,Beta-2 adrenergic receptor partial agonist,43.0
82,234104,796,9098,22714,543,=,7660.0,nM,1,Ki,,,1,5.12,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7660.0,nM,,,,CC(N)Cc1ccccc1,Dopamine transporter releasing agent,155.0
83,234104,796,9098,22714,543,=,7660.0,nM,1,Ki,,,1,5.12,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7660.0,nM,,,,CC(N)Cc1ccccc1,Norepinephrine transporter releasing agent,100.0
84,796054,797,8841,104217,543,=,7660.0,nM,1,Ki,,,0,5.12,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7660.0,nM,,,,CC(N)Cc1ccccc1,Dopamine transporter releasing agent,155.0
85,796054,797,8841,104217,543,=,7660.0,nM,1,Ki,,,0,5.12,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7660.0,nM,,,,CC(N)Cc1ccccc1,Norepinephrine transporter releasing agent,100.0
86,1275384,799,11752,55845,557741,>,10000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,>,10000.0,nM,,,,,Serotonin 4 (5-HT4) receptor agonist,168.0
87,306789,800,11642,298283,3859,>,1000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,>,1000.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Serotonin 2a (5-HT2a) receptor antagonist,107.0
88,306789,800,11642,298283,3859,>,1000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,>,1000.0,nM,,,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,D2-like dopamine receptor inverse agonist,105671.0
89,312174,800,11642,298282,7714,=,339.0,nM,1,Ki,,,0,6.47,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,339.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2a (5-HT2a) receptor antagonist,107.0
90,312174,800,11642,298282,7714,=,339.0,nM,1,Ki,,,0,6.47,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,339.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Serotonin 2c (5-HT2c) receptor antagonist,108.0
91,312174,800,11642,298282,7714,=,339.0,nM,1,Ki,,,0,6.47,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,339.0,nM,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Dopamine D2 receptor antagonist,72.0
92,315931,800,11642,298280,6216,>,1000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,>,1000.0,nM,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,Serotonin 2a (5-HT2a) receptor antagonist,107.0
